CUSTOM, BLAS, EIGEN
5.9882e-05,5.5047e-05,4.3951e-05,
0.00038738,0.0011276,0.000308299,
0.00138388,0.000472925,0.000297614,
0.00324177,0.000210194,0.000600894,
0.00667593,0.000346358,0.00149055,
0.0119102,0.000427015,0.00384664,
0.0394036,0.000566804,0.00548152,
0.0299572,0.00137974,0.00355671,
0.0427516,0.000967743,0.0119875,
0.0572082,0.00145623,0.0169571,
0.0801649,0.00168877,0.00892166,
0.103846,0.00223208,0.0117276,
0.128202,0.00564255,0.0151363,
0.158924,0.00504849,0.0190528,
0.211791,0.00462272,0.0216509,
0.300742,0.00846889,0.0285154,
0.321347,0.0118298,0.0334227,
0.361201,0.00931085,0.0332312,
0.438009,0.010335,0.0395175,
0.505171,0.0098904,0.0484524,
